Please select your school,Time of the Day the behavior occurred?,Date of Incident,Is the referral for a minor or a major violation?,Select the Classroom Managed Behavior (Do not include student names in text boxes) - Selected Choice,Select the Major Referral,Where did the incident take place?,Enrollment_SchoolID,Ethnicity,fre,Gender,Grade_Level,LunchStatus,Student Identifier,Year,Term,dr.studentminors,Student_Number
Bayside,10:00am-11:00am,2025-01-30,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A14365835BZD
Bayside,8:00am - 9:00am,2025-01-30,Major Violation,,Fighting,,,W,,F,4,P,,,,,A15142526BZD
Bayside,9:00am - 10:00am,2025-01-30,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,P,,,,,A15277364BZD
Bayside,9:00am - 10:00am,2025-01-31,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,,,W,,F,4,P,,,,,A15142052BZD
Rydell High School,8:00am - 9:00am,2025-01-31,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,B,,M,0,F,,,,,A16157912BZD
Bayside,2:00pm -3:00pm,2025-01-29,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A15089432BZD
Bayside,1:00pm - 2:00pm,2025-01-31,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,12:00pm - 1:00pm,2025-01-31,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,2,P,,,,,A15717014BZD
Rydell High School,10:00am-11:00am,2025-01-31,Minor Violation (5 times in the same quarter),Other,,,,B,,M,0,F,,,,,A16157912BZD
Shermer High School,11:00am - 12:00pm,2025-02-03,Minor Violation (5 times in the same quarter),Refusal to do work,,,,B,,M,7,F,,,,,A13746125BZD
Rydell High School,11:00am - 12:00pm,2025-02-03,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,P,,,,,A14784137BZD
Hill Valley High School,After School,2025-01-29,Major Violation,,Continued Misconduct,,,W,,M,1,F,,,,,A16263224BZD
Hill Valley High School,11:00am - 12:00pm,2025-01-29,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A14781929BZD
Springfield Elementary,9:00am - 10:00am,2025-01-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,1,P,,,,,A15903068BZD
Springfield Elementary,11:00am - 12:00pm,2025-01-28,Major Violation,,Continued Misconduct,,,W,,M,1,P,,,,,A15903068BZD
Springfield Elementary,8:00am - 9:00am,2025-01-29,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,1,P,,,,,A15903068BZD
Springfield Elementary,12:00pm - 1:00pm,2025-01-24,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,0,F,,,,,A16747481BZD
Bayside,2:00pm -3:00pm,2025-02-03,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A14365835BZD
Bayside,10:00am-11:00am,2025-02-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A15597938BZD
Shermer High School,12:00pm - 1:00pm,2025-02-04,Minor Violation (5 times in the same quarter),Insubordination,,,,B,,M,7,F,,,,,A13732628BZD
Shermer High School,12:00pm - 1:00pm,2025-02-04,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,7,F,,,,,A13631453BZD
Shermer High School,12:00pm - 1:00pm,2025-02-04,Minor Violation (5 times in the same quarter),Disruption,,,,B,,M,7,F,,,,,A13732628BZD
Rydell High School,10:00am-11:00am,2025-02-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,0,P,,,,,A16132079BZD
Shermer High School,2:00pm -3:00pm,2025-02-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,5,F,,,,,A14576444BZD
Rydell High School,9:00am - 10:00am,2025-02-04,Minor Violation (5 times in the same quarter),Disruption,,,,B,,M,0,F,,,,,A16157912BZD
Shermer High School,After School,2025-02-04,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,11,P,,,,,A12692066BZD
Shermer High School,After School,2025-02-04,Major Violation,,Continued Misconduct,,,W,,M,8,F,,,,,A16674929BZD
Shermer High School,After School,2025-02-04,Major Violation,,Continued Misconduct,,,B,,M,9,F,,,,,A13618430BZD
Bayside,8:00am - 9:00am,2025-02-05,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,F,4,R,,,,,A14843558BZD
Shermer High School,10:00am-11:00am,2025-02-05,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,7,F,,,,,A13631453BZD
Bayside,11:00am - 12:00pm,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,P,,,,,A15277364BZD
Shermer High School,8:00am - 9:00am,2025-02-05,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,5,F,,,,,A14576444BZD
Bayside,12:00pm - 1:00pm,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A15597938BZD
Bayside,12:00pm - 1:00pm,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,R,,,,,A14884319BZD
Shermer High School,2:00pm -3:00pm,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,7,F,,,,,A14064242BZD
Rydell High School,9:00am - 10:00am,2025-02-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,1,F,,,,,A15877154BZD
Rydell High School,10:00am-11:00am,2025-02-05,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15125486BZD
Shermer High School,8:00am - 9:00am,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,B,,M,7,F,,,,,A13732628BZD
Shermer High School,12:00pm - 1:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,B,,M,5,F,,,,,A16149077BZD
Shermer High School,1:00pm - 2:00pm,2025-02-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,B,,M,7,F,,,,,A13732628BZD
Shermer High School,1:00pm - 2:00pm,2025-02-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,7,F,,,,,A13631453BZD
Bayside,2:00pm -3:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A14850677BZD
Bayside,2:00pm -3:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A15142514BZD
Springfield Elementary,1:00pm - 2:00pm,2025-02-04,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,P,,,,,A16438619BZD
Springfield Elementary,10:00am-11:00am,2025-02-05,Major Violation,,"Continued Misconduct,Leaving class/school without permission",,,W,,M,1,P,,,,,A15903068BZD
Bayside,10:00am-11:00am,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A15244859BZD
Shermer High School,8:00am - 9:00am,2025-02-07,Major Violation,,Continued Misconduct,,,B,,M,5,F,,,,,A16149077BZD
Rydell High School,12:00pm - 1:00pm,2025-02-07,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15995096BZD
Hill Valley High School,2:00pm -3:00pm,2025-01-24,Major Violation,,Continued Misconduct,,,W,,M,0,F,,,,,A15843587BZD
Hill Valley High School,Before School,2025-02-05,Major Violation,,Threats,,,W,,M,3,F,,,,,A14943248BZD
Hill Valley High School,9:00am - 10:00am,2025-02-05,Major Violation,,Continued Misconduct,,,W,,M,2,P,,,,,A15771266BZD
Hill Valley High School,After School,2025-01-28,Major Violation,,Continued Misconduct,,,W,,M,0,F,,,,,A15843587BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,P,,,,,A15141941BZD
Bayside,10:00am-11:00am,2025-02-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A14850692BZD
Bayside,11:00am - 12:00pm,2025-02-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,P,,,,,A14011100BZD
Bayside,11:00am - 12:00pm,2025-02-10,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,P,,,,,A15142052BZD
Bayside,9:00am - 10:00am,2025-02-10,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A14377289BZD
Rydell High School,11:00am - 12:00pm,2025-02-10,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15125486BZD
Hill Valley High School,8:00am - 9:00am,2025-01-30,Major Violation,,Continued Misconduct,,,W,,M,2,P,,,,,A16907555BZD
Springfield Elementary,12:00pm - 1:00pm,2025-02-07,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,P,,,,,A16709384BZD
Springfield Elementary,9:00am - 10:00am,2025-02-10,Major Violation,,Continued Misconduct,,,W,,M,1,F,,,,,A15850136BZD
Springfield Elementary,10:00am-11:00am,2025-02-10,Major Violation,,Assault,,,W,,M,1,P,,,,,A15857090BZD
Springfield Elementary,12:00pm - 1:00pm,2025-02-06,Major Violation,,Continued Misconduct,,,W,,M,0,F,,,,,A16747481BZD
Springfield Elementary,2:00pm -3:00pm,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,0,P,,,,,A16709360BZD
Springfield Elementary,9:00am - 10:00am,2025-02-10,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,1,F,,,,,A15850136BZD
Hill Valley High School,8:00am - 9:00am,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15686213BZD
Hill Valley High School,8:00am - 9:00am,2025-01-30,Major Violation,,Continued Misconduct,,,W,,M,2,P,,,,,A15850778BZD
Hill Valley High School,9:00am - 10:00am,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,P,,,,,A15850796BZD
Hill Valley High School,Unknown,2025-02-07,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,4,P,,,,,A15141929BZD
Rydell High School,12:00pm - 1:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,1,P,,,,,A15913277BZD
Shermer High School,12:00pm - 1:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,7,F,,,,,A13631453BZD
Shermer High School,8:00am - 9:00am,2025-02-12,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,8,F,,,,,A13607390BZD
Hill Valley High School,2:00pm -3:00pm,2025-02-11,Major Violation,,"Continued Misconduct,Harassment",,,W,,M,0,P,,,,,A16732493BZD
Bayside,11:00am - 12:00pm,2025-02-12,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,P,,,,,A15277364BZD
Hill Valley High School,8:00am - 9:00am,2025-02-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15626174BZD
Shermer High School,11:00am - 12:00pm,2025-02-12,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,,,W,,M,9,F,,,,,A13364417BZD
Shermer High School,12:00pm - 1:00pm,2025-02-11,Major Violation,,Continued Misconduct,,,B,,M,7,F,,,,,A13732628BZD
Bayside,12:00pm - 1:00pm,2025-02-12,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,2,P,,,,,A15717014BZD
Bayside,10:00am-11:00am,2025-02-12,Minor Violation (5 times in the same quarter),Other,,,,W,,M,2,F,,,,,A15137912BZD
Rydell High School,2:00pm -3:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,1,F,,,,,A16857281BZD
Shermer High School,1:00pm - 2:00pm,2025-02-12,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,,,W,,M,9,F,,,,,A13115837BZD
Bayside,9:00am - 10:00am,2025-02-03,Major Violation,,Threats,,,W,,M,4,F,,,,,A14058587BZD
Bayside,10:00am-11:00am,2025-02-03,Minor Violation (5 times in the same quarter),Other,,,,W,,F,2,F,,,,,A15850814BZD
Shermer High School,Unknown,2025-02-12,Minor Violation (5 times in the same quarter),Other,,,,W,,M,6,P,,,,,A15026240BZD
Springfield Elementary,8:00am - 9:00am,2025-02-10,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,0,P,,,,,A16170938BZD
Springfield Elementary,12:00pm - 1:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,0,F,,,,,A16413923BZD
Springfield Elementary,2:00pm -3:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16413923BZD
Shermer High School,1:00pm - 2:00pm,2025-02-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,9,F,,,,,A13368554BZD
Rydell High School,2:00pm -3:00pm,2025-02-13,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,1,P,,,,,A15995096BZD
Bayside,11:00am - 12:00pm,2025-02-13,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A14365835BZD
Rydell High School,11:00am - 12:00pm,2025-02-13,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,F,,,,,A15877154BZD
Bayside,12:00pm - 1:00pm,2025-02-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,3,F,,,,,A14988029BZD
Shermer High School,1:00pm - 2:00pm,2025-02-14,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,7,F,,,,,A13631453BZD
Rydell High School,Before School,2025-02-14,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,P,,,,,A15142322BZD
Shermer High School,2:00pm -3:00pm,2025-02-14,Major Violation,,Harassment,,,B,,M,9,F,,,,,A13618430BZD
Shermer High School,10:00am-11:00am,2025-02-18,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,5,F,,,,,A14576444BZD
Shermer High School,11:00am - 12:00pm,2025-02-18,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,9,F,,,,,A13364417BZD
Bayside,9:00am - 10:00am,2025-02-18,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,R,,,,,A15061304BZD
Rydell High School,1:00pm - 2:00pm,2025-02-13,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,F,1,P,,,,,A15695012BZD
Rydell High School,2:00pm -3:00pm,2025-02-18,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15995096BZD
Hill Valley High School,8:00am - 9:00am,2025-02-12,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,F,,,,,A14785055BZD
Shermer High School,11:00am - 12:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Insubordination,,,,B,,M,7,F,,,,,A13732628BZD
Shermer High School,11:00am - 12:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,7,F,,,,,A13631453BZD
Shermer High School,11:00am - 12:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,11,F,,,,,A15249146BZD
Bayside,12:00pm - 1:00pm,2025-02-25,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,F,,,,,A15659372BZD
Shermer High School,2:00pm -3:00pm,2025-02-25,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,9,F,,,,,A13631612BZD
Shermer High School,9:00am - 10:00am,2025-02-26,Minor Violation (5 times in the same quarter),Other,,,,W,,M,6,F,,,,,A14189777BZD
Bayside,1:00pm - 2:00pm,2025-02-26,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,4,F,,,,,A14609051BZD
Bayside,1:00pm - 2:00pm,2025-02-26,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A14873558BZD
Rydell High School,2:00pm -3:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Other,,,,H,,F,3,F,,,,,A16437956BZD
Rydell High School,2:00pm -3:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Other,,,,H,,M,4,F,,,,,A14086856BZD
Rydell High School,12:00pm - 1:00pm,2025-02-26,Minor Violation (5 times in the same quarter),Other,,,,W,,F,1,P,,,,,A15125486BZD
Hill Valley High School,8:00am - 9:00am,2025-02-24,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A16789574BZD
Hill Valley High School,10:00am-11:00am,2025-02-24,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A15843587BZD
Hill Valley High School,11:00am - 12:00pm,2025-02-24,Major Violation,,Assault,,,W,,M,1,F,,,,,A15856592BZD
Shermer High School,10:00am-11:00am,2025-02-27,Major Violation,,Exceeded minor maximum count,,,W,,M,9,F,,,,,A13631612BZD
Shermer High School,12:00pm - 1:00pm,2025-02-27,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,6,P,,,,,A15026240BZD
Shermer High School,8:00am - 9:00am,2025-02-27,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,5,F,,,,,A14576444BZD
Shermer High School,1:00pm - 2:00pm,2025-02-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,8,F,,,,,A13607390BZD
Bayside,8:00am - 9:00am,2025-02-27,Minor Violation (5 times in the same quarter),Preparedness,,,,W,,M,2,F,,,,,A15531968BZD
Bayside,8:00am - 9:00am,2025-02-27,Minor Violation (5 times in the same quarter),Preparedness,,,,W,,F,2,F,,,,,A16417805BZD
Hill Valley High School,8:00am - 9:00am,2025-02-24,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15686213BZD
Hill Valley High School,12:00pm - 1:00pm,2025-02-26,Major Violation,,Fighting,,,W,,M,1,F,,,,,A15856592BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,P,,,,,A15818579BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-06,Minor Violation (5 times in the same quarter),Other,,,,W,,F,4,F,,,,,A15072533BZD
Shermer High School,After School,2025-02-27,Major Violation,,Leaving class/school without permission,,,W,,M,9,F,,,,,A13631612BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-11,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A16907555BZD
Hill Valley High School,2:00pm -3:00pm,2025-02-24,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,P,,,,,A15771266BZD
Bayside,11:00am - 12:00pm,2025-02-28,Minor Violation (5 times in the same quarter),Misuse of electronic devices,,,,W,,M,4,P,,,,,A14011100BZD
Shermer High School,12:00pm - 1:00pm,2025-02-28,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,7,F,,,,,A13631453BZD
Shermer High School,12:00pm - 1:00pm,2025-02-28,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,B,,M,7,F,,,,,A13732628BZD
Bayside,2:00pm -3:00pm,2025-02-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,4,F,,,,,A15119036BZD
Rydell High School,9:00am - 10:00am,2025-02-27,Minor Violation (5 times in the same quarter),Disruption,,,,B,,M,0,F,,,,,A16157912BZD
Rydell High School,2:00pm -3:00pm,2025-02-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,B,,M,0,F,,,,,A16157912BZD
Shermer High School,8:00am - 9:00am,2025-03-03,Minor Violation (5 times in the same quarter),Insubordination,,,,W,,M,8,F,,,,,A13607390BZD
Shermer High School,11:00am - 12:00pm,2025-03-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,6,P,,,,,A14526035BZD
Bayside,12:00pm - 1:00pm,2025-03-03,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,2,P,,,,,A15717014BZD
Bayside,12:00pm - 1:00pm,2025-03-03,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,3,F,,,,,A15144467BZD
Shermer High School,12:00pm - 1:00pm,2025-03-03,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,M,9,P,,,,,A16172189BZD
Bayside,8:00am - 9:00am,2025-03-03,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,2,F,,,,,A15659372BZD
Bayside,2:00pm -3:00pm,2025-03-03,Minor Violation (5 times in the same quarter),Other,,,,W,,M,3,P,,,,,A15277364BZD
Hill Valley High School,10:00am-11:00am,2025-02-28,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16327676BZD
Hill Valley High School,10:00am-11:00am,2025-02-28,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16327679BZD
Hill Valley High School,12:00pm - 1:00pm,2025-02-28,Major Violation,,Fighting,,,W,,M,1,R,,,,,A16327667BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A15850778BZD
Springfield Elementary,1:00pm - 2:00pm,2025-02-28,Major Violation,,Continued Misconduct,,,W,,F,1,P,,,,,A14435471BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-18,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A16907555BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A14991482BZD
Springfield Elementary,12:00pm - 1:00pm,2025-02-28,Major Violation,,Assault,,,W,,M,0,F,,,,,A16413923BZD
Bayside,9:00am - 10:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A15211967BZD
Hill Valley High School,Unknown,2025-02-25,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,F,,,,,A14081303BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,R,,,,,A14781935BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,4,P,,,,,A14794331BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A14843591BZD
Hill Valley High School,1:00pm - 2:00pm,2025-02-27,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15403370BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A14911667BZD
Bayside,10:00am-11:00am,2025-02-28,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,F,,,,,A14911667BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,4,P,,,,,A15142526BZD
Bayside,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,4,F,,,,,A14900798BZD
Rydell High School,2:00pm -3:00pm,2025-03-04,Minor Violation (5 times in the same quarter),Refusal to do work,,,,W,,F,4,F,,,,,A14794292BZD
Shermer High School,10:00am-11:00am,2025-03-04,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,8,F,,,,,A13607390BZD
Bayside,Before School,2025-03-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,F,,,,,A15617582BZD
Bayside,Before School,2025-03-05,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,2,P,,,,,A14377289BZD
Bayside,2:00pm -3:00pm,2025-03-04,Minor Violation (5 times in the same quarter),Other,,,,W,,M,2,F,,,,,A15617582BZD
Shermer High School,11:00am - 12:00pm,2025-02-28,Major Violation,,Bullying,,,W,,M,6,F,,,,,A14189777BZD
Shermer High School,11:00am - 12:00pm,2025-03-05,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,9,F,,,,,A13115837BZD
Shermer High School,12:00pm - 1:00pm,2025-03-05,Minor Violation (5 times in the same quarter),Inappropriate Verbal Language,,,,W,,M,6,P,,,,,A14526035BZD
Shermer High School,9:00am - 10:00am,2025-03-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,8,F,,,,,A13607390BZD
Shermer High School,9:00am - 10:00am,2025-03-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,H,,M,8,P,,,,,A14376068BZD
Shermer High School,9:00am - 10:00am,2025-03-06,Major Violation,,"Continued Misconduct,Exceeded minor maximum count",,,W,,M,8,F,,,,,A15825080BZD
Shermer High School,9:00am - 10:00am,2025-03-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,8,F,,,,,A15825080BZD
Shermer High School,9:00am - 10:00am,2025-03-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,H,,M,8,P,,,,,A14376068BZD
Bayside,10:00am-11:00am,2025-03-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,11:00am - 12:00pm,2025-03-06,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,F,2,F,,,,,A15470480BZD
Bayside,11:00am - 12:00pm,2025-03-06,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,2,P,,,,,A15849581BZD
Bayside,9:00am - 10:00am,2025-03-06,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A15849920BZD
Bayside,9:00am - 10:00am,2025-03-06,Minor Violation (5 times in the same quarter),Disruption,,,,W,,M,2,P,,,,,A15849578BZD
Springfield Elementary,12:00pm - 1:00pm,2025-03-04,Major Violation,,Assault,,,W,,M,0,F,,,,,A16741181BZD
Springfield Elementary,9:00am - 10:00am,2025-02-27,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16214498BZD
Springfield Elementary,1:00pm - 2:00pm,2025-02-27,Minor Violation (5 times in the same quarter),Disruption,,,,W,,F,0,P,,,,,A16709360BZD
Springfield Elementary,9:00am - 10:00am,2025-02-27,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16125584BZD
Springfield Elementary,12:00pm - 1:00pm,2025-02-18,Minor Violation (5 times in the same quarter),Other,,,,W,,M,0,F,,,,,A16413929BZD
Bayside,10:00am-11:00am,2025-03-07,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,P,,,,,A15553787BZD
Bayside,10:00am-11:00am,2025-03-07,Minor Violation (5 times in the same quarter),Other,,,,W,,M,4,F,,,,,A14843582BZD
Shermer High School,11:00am - 12:00pm,2025-03-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,9,F,,,,,A13364417BZD
Shermer High School,11:00am - 12:00pm,2025-03-07,Minor Violation (5 times in the same quarter),Disobedience/Defiance/Disrespect,,,,W,,M,9,F,,,,,A13631612BZD
